LogHost,logon_explicit_cred_to_cnt,logon_type_12,logon_type_frm_0,logon_type_frm_9,logon_type_frm_12,uname_other_compacnt_login_frac,uname_that_compacnt_login_frac,uname_other_compacnt_login_cnt,uname_that_compacnt_login_cnt,logon_type_0,logon_type_2,logon_type_3,logon_type_4,logon_type_5,logon_type_7,logon_type_8,logon_type_9,logon_type_10,logon_type_11,logon_type_frm_2,logon_type_frm_3,logon_type_frm_4,logon_type_frm_5,logon_type_frm_7,logon_type_frm_8,logon_type_frm_10,logon_type_frm_11,Source_cnt,UserName_cnt,DomainName_cnt,total_logins_cnt,accnt_fail_logon_cnt,total_logoff_cnt,total_user_initi_logoff_cnt,logon_explicit_cred_frm_cnt,spl_pvlgs,domain_ctr_validate_cnt,scrnsaver_invok_cnt,scrnsaver_dismiss_cnt,total_logins_src_cnt,accnt_fail_logon_src_cnt,TGT_req_src_cnt,TGS_req_src_cnt,domain_ctr_validate_src_cnt
Comp819564,0,0,0,0,0,0.0,0.692307692,0,9,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,13,0,9,0,5,13,0,0,0,161,0,6,25,22
Comp326851,0,0,0,0,0,0.0,0.333333333,0,5,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,15,0,5,0,3,15,0,0,0,378,0,4,20,68
Comp817648,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,3,30,12
Comp703118,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,0,0,0,0,11,0,0,0,88,0,1,11,10
Comp885635,0,0,0,0,0,0.0,0.714285714,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,0,5,0,1,7,0,0,0,211,0,0,29,20
Comp104440,0,0,0,0,0,0.0,0.571428571,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,4,0,0,7,0,0,0,206,0,0,21,16
Comp392594,0,0,0,0,0,0.0,0.142857143,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,0,1,0,0,7,0,0,0,151,0,0,23,21
Comp345143,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,12,0,0,0,33,12,0,0,0,339,0,20,61,31
Comp712869,0,0,0,0,0,0.0,0.5,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,3,0,1,6,0,0,0,166,0,3,22,24
Comp830560,0,0,0,0,0,0.0,0.75,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,3,0,1,4,0,0,0,141,0,2,28,18
Comp300120,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,188,0,0,31,17
Comp539442,0,0,0,0,0,0.0,0.078431373,0,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,51,0,50,0,0,4,0,0,0,73,0,2,10,18
Comp141954,0,0,0,0,0,0.0,1.0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,7,0,4,7,0,0,0,167,0,5,19,11
Comp844641,0,0,0,0,0,0.0,0.5,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,0,4,0,0,8,0,0,0,140,0,0,33,0
Comp787759,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,3,0
Comp972679,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
Comp644809,0,0,0,0,0,0.0,0.285714286,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,2,0,1,7,0,0,0,169,0,1,30,17
Comp585504,0,0,0,0,0,0.0,0.444444444,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,4,0,0,9,0,0,0,138,0,0,19,31
Comp742616,0,0,0,0,0,0.0,1.0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,4,0,0,5,0,0,0,153,0,3,18,34
Comp078986,0,0,0,0,0,0.0,0.666666667,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,4,0,0,6,0,0,0,92,0,0,10,11
Comp836042,0,0,0,0,0,0.0,0.642857143,0,9,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,0,9,0,5,14,0,0,0,176,0,9,38,22
Comp760359,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Comp863030,0,0,0,0,0,0.0,0.444444444,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,4,0,0,9,0,0,0,147,0,0,16,17
Comp088337,0,0,0,0,0,0.0,0.444444444,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,4,0,0,9,0,0,0,189,0,0,31,43
Comp634388,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
Comp281692,0,0,0,0,0,0.0,0.416666667,0,5,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,0,5,0,0,12,0,0,0,77,0,0,8,5
Comp698813,0,0,0,0,0,0.0,0.8,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,4,0,0,5,0,0,0,175,0,0,15,18
Comp415703,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,0,0,0,10,0,0,0,158,0,2,14,34
Comp842312,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327
Comp850576,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,5,0
Comp030023,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,2,36,0
Comp264738,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,12,38,0
Comp067559,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,7,19,11
Comp210603,0,0,0,0,0,0.0,1.0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,5,1,1,5,0,0,0,144,0,2,16,16
Comp083118,0,0,0,0,0,0.0,0.416666667,0,5,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,12,0,5,0,1,12,0,0,0,343,0,2,43,26
Comp005666,0,0,0,0,0,0.0,0.4,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,10,0,4,0,25,10,0,0,0,280,0,6,27,18
Comp442729,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,1,3,2
Comp965237,0,0,0,0,0,0.0,0.384615385,0,5,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,13,0,5,0,0,13,0,0,0,189,0,1,37,29
Comp246829,0,0,0,0,0,0.0,0.5,0,5,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,5,0,1,10,0,0,0,274,0,2,34,11
Comp093128,0,0,0,0,0,0.0,0.416666667,0,5,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,0,5,0,1,12,0,0,0,211,0,4,26,29
Comp181921,0,0,0,0,0,0.0,0.666666667,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,4,0,0,6,0,0,0,494,0,1,13,16
Comp043718,0,0,0,0,0,0.0,0.75,0,3,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,2,4,0,3,0,2,3,0,0,0,100,5,2,17,26
Comp854313,0,0,0,0,0,0.0,1.0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,0,5,0,3,5,0,0,0,128,0,3,8,31
Comp373488,0,0,0,0,0,0.0,0.571428571,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,0,4,0,0,7,0,0,0,86,0,0,17,13
Comp876695,0,0,0,0,0,0.0,0.285714286,0,4,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,14,0,4,0,0,14,0,0,0,73,0,1,17,12
Comp117764,0,0,0,0,0,0.0,0.636363636,0,7,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11,0,7,0,4,11,0,0,0,148,0,4,21,20
Comp690347,0,0,0,0,0,0.0,0.294117647,0,5,0,0,5,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,17,0,8,0,4,17,0,0,0,148,0,0,29,25
Comp262388,0,0,0,0,0,0.0,0.583333333,0,7,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,0,7,0,4,12,0,0,0,21,0,0,0,22
Comp954211,0,0,0,0,0,0.0,0.034482759,0,2,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,58,0,2,0,1,12,0,0,0,141,0,1,7,18
Comp740278,0,0,0,0,0,0.0,0.272727273,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,0,3,0,1,11,0,0,0,65,0,2,9,11
