LogHost,logon_explicit_cred_to_cnt,logon_type_12,logon_type_frm_0,logon_type_frm_9,logon_type_frm_12,uname_other_compacnt_login_frac,uname_that_compacnt_login_frac,logon_type_frm_5,uname_other_compacnt_login_cnt,uname_that_compacnt_login_cnt,logon_type_0,logon_type_2,logon_type_3,logon_type_4,logon_type_5,logon_type_7,logon_type_8,logon_type_9,logon_type_10,logon_type_11,logon_type_frm_2,logon_type_frm_3,logon_type_frm_4,logon_type_frm_7,logon_type_frm_8,logon_type_frm_10,logon_type_frm_11,Source_cnt,UserName_cnt,DomainName_cnt,total_logins_cnt,accnt_fail_logon_cnt,total_logoff_cnt,total_user_initi_logoff_cnt,logon_explicit_cred_frm_cnt,spl_pvlgs,domain_ctr_validate_cnt,scrnsaver_invok_cnt,scrnsaver_dismiss_cnt,total_logins_src_cnt,accnt_fail_logon_src_cnt,TGT_req_src_cnt,TGS_req_src_cnt,domain_ctr_validate_src_cnt
Comp389657,0,0,0,0,0,0.0,0.032142857,0,0,45,0,0,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,1400,0,1298,0,1,1297,0,0,0,2515,0,2,166,190
Comp537173,0,0,0,0,0,0.0,0.013127413,0,0,17,0,0,1291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,1295,0,1291,0,0,1278,0,0,0,873,0,0,46,22
Comp964101,0,0,0,0,0,0.0,0.112860892,0,0,43,0,0,129,0,220,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,381,0,124,0,1,1467,0,0,0,3047,0,1,134,182
Comp302572,0,0,0,0,0,0.0,0.02960969,0,0,44,0,0,1382,0,111,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,1486,0,1367,0,1,1420,0,0,0,1003,0,2,123,183
Comp905941,0,0,0,0,0,0.0,0.031163435,0,0,45,0,0,175,0,190,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,1444,0,97,0,1,1381,0,0,0,2586,0,2,241,217
Comp703499,0,0,0,0,0,0.0,0.097701149,0,0,17,0,0,17,0,94,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,174,0,17,0,0,128,0,0,0,951,0,0,61,17
Comp613132,0,0,0,0,0,0.0,0.10652921,0,0,31,0,0,31,0,71,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,291,0,31,0,17,269,0,0,0,2369,0,21,54,412
Comp556295,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp791924,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
Comp240032,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp407440,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp576900,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp601420,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp960128,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp387915,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,1,0,0
Comp432866,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp033863,0,0,0,0,0,0.0,0.233502538,0,0,46,0,0,46,0,83,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,197,0,46,0,1,131,0,0,0,3349,0,3,303,187
Comp600275,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,68,0,0,0,0,68,0,0,0,3213,0,0,0,64
